response_id,listening_freq,musical_training,training_ordered,english_level,english_simple,age_range,french_b1,spanish_b1,language_group,mean_emotional,mean_familiarity,mean_valence,mean_comprehension
R_21qsGfEoy0oJivL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R_223lTwk3VzYN3Fx,Daily,1-2,1-2,C2,C2,18-20,No,Yes,English + Spanish,4.333333333333333,6.5,4.666666666666667,4.5
R_29nBDUMVMLfj4Nw,Less than weekly,0,0,C2,C2,21-25,No,No,English only,4,4.333333333333333,4.166666666666667,3.3333333333333335
R_2CPLEPLkAACUSuB,Daily,6+,6+,C2,C2,18-20,No,No,English only,3.8333333333333335,2.8333333333333335,3.6666666666666665,3
R_2GZeNAmRr899D0s,Daily,0,0,C2,C2,21-25,No,No,English only,4,7,4.833333333333333,3.5
R_2H7zdsyPRMJxeAp,Daily,0,0,B2,B2,18-20,No,No,English only,4.5,4.166666666666667,4.166666666666667,3
R_2JJnczFo3HXtOj7,Daily,0,0,C1,C1,21-25,No,No,English only,4.5,5.666666666666667,6,3
R_2N2rXWASMuArsiu,Daily,0,0,C2,C2,21-25,No,No,English only,4.166666666666667,4.833333333333333,4.666666666666667,3
R_2NX6IHw7UbJnZI0,Daily,0,0,NA,NA,21-25,No,No,NA,3.3333333333333335,4.666666666666667,4.5,3
R_2QVrfaWuXiux1kR,4-6 times a week,0,0,B2,B2,21-25,No,No,English only,5,4,3.8333333333333335,2.1666666666666665
R_2fpIH6vOdzjsOys,Daily,0,0,C1,C1,26-30,No,No,English only,2.3333333333333335,2.333333333333333,4,1.5
R_2gN2Q0k8YGAisdO,Daily,1-2,1-2,A1,A1,18-20,No,No,NA,4.333333333333333,1,4.666666666666667,1
R_2j4OHHC37Y5hLGx,4-6 times a week,3-5,3-5,B1,B1,18-20,Yes,Yes,NA,2.5,3.3333333333333335,3.1666666666666665,3.1666666666666665
R_2lStIoq5n9gzS79,Daily,0,0,C2,C2,18-20,No,No,English only,4.333333333333333,4.666666666666667,4.166666666666667,3
R_2mjZ3aXbthvxR05,Daily,0,0,C1,C1,18-20,No,No,English only,3.8333333333333335,3.6666666666666665,4.333333333333333,2.5
R_2qpUrMSXgKSXIHM,4-6 times a week,6+,6+,A1,A1,41+,No,No,NA,5.333333333333333,3,5,1.8333333333333333
R_2wRobJdIW0kzoat,Daily,3-5,3-5,C1,C1,21-25,No,No,English only,5.333333333333333,4.833333333333333,5.333333333333333,3
R_4JUwzk74OWW1qyl,Daily,0,0,C1,C1,18-20,No,No,English only,4,4.5,4.5,2.8333333333333335
R_4X2RXAodlOVVnAR,Daily,0,0,B2,B2,18-20,Yes,No,English + French,4.166666666666667,4.166666666666667,4.166666666666667,2.5
R_58A2KkV214guebP,4-6 times a week,3-5,3-5,C2,C2,21-25,No,Yes,English + Spanish,4.833333333333333,3,3.5,4.666666666666667
R_7q35ETwaO2ydiNO,Daily,3-5,3-5,C1,C1,18-20,No,No,English only,5.333333333333333,4.166666666666667,5.166666666666667,3
R_80Z2aLZO8WBP0Pj,Daily,3-5,3-5,C1,C1,18-20,No,No,English only,5.166666666666667,5.333333333333333,5,2.8333333333333335
R_82a98nGuZmiFbA4,Daily,0,0,A2,A2,18-20,No,No,NA,4.166666666666667,3.5,4.833333333333333,2.3333333333333335
R_83x0vQ8srxEJ9Db,Daily,0,0,C2,C2,21-25,No,No,English only,3,5.5,4,3.1666666666666665
R_8AGZw8uDQ80WLqc,Daily,6+,6+,B2,B2,21-25,No,No,English only,3,2.8333333333333335,3.6666666666666665,1.6666666666666667
R_8CfDWWjBCfzsQtQ,Daily,1-2,1-2,C1,C1,18-20,No,No,English only,4.5,3,4.5,3.1666666666666665
R_8DiIfWQqoshtyB9,Daily,6+,6+,C2,C2,21-25,No,No,English only,1.8333333333333333,1.8333333333333333,4,3.3333333333333335
R_8GkcuHxxkTGPACB,Daily,0,0,B2,B2,21-25,Yes,No,English + French,4.5,5.666666666666667,4.333333333333333,3.3333333333333335
R_8Lil9Agb1Gd353x,Daily,3-5,3-5,C2,C2,18-20,No,Yes,English + Spanish,4.166666666666667,5.333333333333333,4.5,3.8333333333333335
R_8THJnv7xVkgTfFX,Daily,3-5,3-5,C2,C2,26-30,No,No,English only,3.8333333333333335,4.5,4.666666666666667,2.5
R_8aJIvYakZ4akZgf,Daily,6+,6+,C1,C1,21-25,Yes,No,English + French,3.6666666666666665,4.5,5.166666666666667,3.8333333333333335
R_8cTjNE3VtXq3aJ8,Daily,3-5,3-5,B1,B1,21-25,No,No,English only,5.333333333333333,4,3.5,2.5
R_8jV89SZQ1Bh3WXQ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R_8uu0vtZtWc9bQxb,Daily,1-2,1-2,B2,B2,21-25,No,No,English only,6.666666666666667,6.166666666666667,2.6666666666666665,2.8333333333333335
R_8zwp2UizdHn2g6t,Daily,6+,6+,B2,B2,21-25,No,No,English only,4.666666666666667,1,5.166666666666667,1
R_9DvtWrV6HuC0QR0,4-6 times a week,1-2,1-2,B1,B1,18-20,No,No,English only,5.5,2.6666666666666665,4.5,1.8333333333333333
R_9KwoDVUXDGinKmL,Daily,6+,6+,C2,C2,18-20,Yes,No,English + French,3,3,4.666666666666667,3.6666666666666665
R_9NIk9JPxubKXxBm,Daily,0,0,B2,B2,18-20,No,No,English only,5.166666666666667,4.5,5,2.1666666666666665
R_9ONBUwoQGvIF20E,Daily,1-2,1-2,C1,C1,21-25,No,No,English only,4.833333333333333,4.5,4.333333333333333,3
